Framenr;FrameTime;FilterVersion;FtEvElongation;FtEvVelocity;FtEvASM1;FtEvASM2;FtEvASM3;FtEvDudani1;FtEvDudani3;FtEvDudani4;FtEvDudani5;FtEvDudani6;FtEvDudani7;FtEvBending;FtFlow50FwHead1Mean;FtFlow50FwHead1Abs;FtFlow50FwHead1Std;FtFlow50FwHead1Meand;FtFlow50FwHead1AbsMeand;FtFlow50FwHead1Zerocross;FtFlow50FwHead2Mean;FtFlow50FwHead2Abs;FtFlow50FwHead2Std;FtFlow50FwHead2Meand;FtFlow50FwHead2AbsMeand;FtFlow50FwHead2Zerocross;FtFlow50FwButtMean;FtFlow50FwButtAbs;FtFlow50FwButtStd;FtFlow50FwButtMeand;FtFlow50FwButtAbsMeand;FtFlow50FwButtZerocross;FtFlow50SwHeadMean;FtFlow50SwHeadAbs;FtFlow50SwHeadStd;FtFlow50SwHeadMeand;FtFlow50SwHeadAbsMeand;FtFlow50SwHeadZerocross;FtFlow50SwMiddleMean;FtFlow50SwMiddleAbs;FtFlow50SwMiddleStd;FtFlow50SwMiddleMeand;FtFlow50SwMiddleAbsMeand;FtFlow50SwMiddleZerocross;FtFlow50SwButtMean;FtFlow50SwButtAbs;FtFlow50SwButtStd;FtFlow50SwButtMeand;FtFlow50SwButtAbsMeand;FtFlow50SwButtZerocross;FtFlow20FwHead1Mean;FtFlow20FwHead1Abs;FtFlow20FwHead1Std;FtFlow20FwHead1Meand;FtFlow20FwHead1AbsMeand;FtFlow20FwHead1Zerocross;FtFlow20FwHead2Mean;FtFlow20FwHead2Abs;FtFlow20FwHead2Std;FtFlow20FwHead2Meand;FtFlow20FwHead2AbsMeand;FtFlow20FwHead2Zerocross;FtFlow20FwButtMean;FtFlow20FwButtAbs;FtFlow20FwButtStd;FtFlow20FwButtMeand;FtFlow20FwButtAbsMeand;FtFlow20FwButtZerocross;FtFlow20SwHeadMean;FtFlow20SwHeadAbs;FtFlow20SwHeadStd;FtFlow20SwHeadMeand;FtFlow20SwHeadAbsMeand;FtFlow20SwHeadZerocross;FtFlow20SwMiddleMean;FtFlow20SwMiddleAbs;FtFlow20SwMiddleStd;FtFlow20SwMiddleMeand;FtFlow20SwMiddleAbsMeand;FtFlow20SwMiddleZerocross;FtFlow20SwButtMean;FtFlow20SwButtAbs;FtFlow20SwButtStd;FtFlow20SwButtMeand;FtFlow20SwButtAbsMeand;FtFlow20SwButtZerocross;FtFlow10FwHead1Mean;FtFlow10FwHead1Abs;FtFlow10FwHead1Std;FtFlow10FwHead1Meand;FtFlow10FwHead1AbsMeand;FtFlow10FwHead1Zerocross;FtFlow10FwHead2Mean;FtFlow10FwHead2Abs;FtFlow10FwHead2Std;FtFlow10FwHead2Meand;FtFlow10FwHead2AbsMeand;FtFlow10FwHead2Zerocross;FtFlow10FwButtMean;FtFlow10FwButtAbs;FtFlow10FwButtStd;FtFlow10FwButtMeand;FtFlow10FwButtAbsMeand;FtFlow10FwButtZerocross;FtFlow10SwHeadMean;FtFlow10SwHeadAbs;FtFlow10SwHeadStd;FtFlow10SwHeadMeand;FtFlow10SwHeadAbsMeand;FtFlow10SwHeadZerocross;FtFlow10SwMiddleMean;FtFlow10SwMiddleAbs;FtFlow10SwMiddleStd;FtFlow10SwMiddleMeand;FtFlow10SwMiddleAbsMeand;FtFlow10SwMiddleZerocross;FtFlow10SwButtMean;FtFlow10SwButtAbs;FtFlow10SwButtStd;FtFlow10SwButtMeand;FtFlow10SwButtAbsMeand;FtFlow10SwButtZerocross;FtFlowEnergyHead;FtFlowEnergyMiddle;FtFlowEnergyButt;FtFlowFwHead1MeanPos;FtFlowFwHead1MeanNeg;FtFlowFwHead1Range;FtFlowFwHead2MeanPos;FtFlowFwHead2MeanNeg;FtFlowFwHead2Range;FtFlowFwButtMeanPos;FtFlowFwButtMeanNeg;FtFlowFwButtRange;FtFlowSwHeadMeanPos;FtFlowSwHeadMeanNeg;FtFlowSwHeadRange;FtFlowSwMiddleMeanPos;FtFlowSwMiddleMeanNeg;FtFlowSwMiddleRange;FtFlowSwButtMeanPos;FtFlowSwButtMeanNeg;FtFlowSwButtRange;FtFlowCorrelation;FtFlowPeriodicityFwHead1_2_0;FtFlowPeriodicityFwHead1_2_5;FtFlowPeriodicityFwHead1_3_0;FtFlowPeriodicityFwHead1_3_5;FtFlowPeriodicityFwHead2_2_0;FtFlowPeriodicityFwHead2_2_5;FtFlowPeriodicityFwHead2_3_0;FtFlowPeriodicityFwHead2_3_5;FtFlowPeriodicityFwButt_2_0;FtFlowPeriodicityFwButt_2_5;FtFlowPeriodicityFwButt_3_0;FtFlowPeriodicityFwButt_3_5;FtFlowPeriodicitySwHead_2_0;FtFlowPeriodicitySwHead_2_5;FtFlowPeriodicitySwHead_3_0;FtFlowPeriodicitySwHead_3_5;FtFlowPeriodicitySwMiddle_2_0;FtFlowPeriodicitySwMiddle_2_5;FtFlowPeriodicitySwMiddle_3_0;FtFlowPeriodicitySwMiddle_3_5;FtFlowPeriodicitySwButt_2_0;FtFlowPeriodicitySwButt_2_5;FtFlowPeriodicitySwButt_3_0;FtFlowPeriodicitySwButt_3_5;FtFlowCorrelationJumpTemplates;FtEvArea;FtEvZnDistWallN;FtEvZnDistWallC;FtEvZnDistWallT;FtEvZnDistFeederN;FtEvZnDistNippleN;
403;2021-01-15T16:18:27.667141+0100;1;1.083562067;0.3895800985;0.1581466764;-0.1522969679;0.06349758537;0.4880976311;0.03827349211;0.01174525555;0.0002447968331;0.007909682717;4.569359371e-05;0.1973519383;76.93004814;89.58920147;74.15826039;1.66264125;34.07077995;8;67.57319812;75.18999087;54.50891055;1.310333737;19.45051061;4;65.31179657;71.55779867;59.58801147;1.383638317;20.14025417;8;-2.195235016;63.41694924;73.34081969;-0.7644201861;21.79305227;6;-0.6266520984;40.73522895;49.51278912;0.3701751475;18.29649386;6;-3.490039191;32.38572941;42.08606364;0.5669193834;21.20844077;9;25.47955368;54.77145341;64.28499061;-7.749622138;39.47253812;5;31.60075101;49.95892841;52.22979111;-4.183894862;24.12248321;4;59.45032462;65.21642956;58.12271365;-3.309155754;20.18791655;4;-19.66955483;70.1099497;73.64612691;-3.689246634;23.7103847;2;-8.382597654;45.45289721;50.60661958;-1.2324407;18.8253795;2;-8.209958814;40.72262191;50.83373819;-0.8423007364;27.68331203;4;1.467640773;46.01947012;53.47184818;5.183468819;31.859201;2;5.096566507;38.47457299;43.74350221;3.68362236;21.19300617;1;24.25927362;35.59964139;43.35323371;0.2706147974;17.86026365;4;17.74844401;68.72689082;71.76859322;17.74361628;21.03910966;1;22.72505622;42.21533793;42.90525802;10.81289586;11.78763077;1;25.51199379;27.09243487;28.18036262;4.201773145;13.50288658;2;127.1395669;77.05006493;41.87583511;63.09093534;0;2.028747559;50.44428253;0;24.17508316;12.11621207;0;30.37564087;79.43209754;0;17.63520813;35.58772959;0;22.62439728;8.260508657;0;11.89818001;0.925733175;0.07405239717;0.1020556754;0.03445946257;0.04070974462;0.05645236491;0.07559033348;0.05669898361;0.08411228956;0.07827003733;0.07822286106;0.05706012907;0.04863712055;0.01194468712;0.03532608258;0.03768667211;0.04043359775;0.09718573984;0.04160177259;0.09789299967;0.03107851776;0.02117286155;0.0559694382;0.03464640384;0.04317956423;1;1.157970081;NaN;NaN;NaN;NaN;NaN;
404;2021-01-15T16:18:27.700458+0100;1;1.110514276;0.4972145267;0.1259531579;-0.1713401608;0.07127262449;0.4947700605;0.03593161795;0.01137179247;0.0002272183052;0.008034427515;3.481281278e-05;0.1866129998;78.29555805;90.95471137;75.74699266;0.830723019;33.48530874;8;68.30051555;75.9173083;54.80077092;0.5294207233;19.48923302;4;67.94995466;74.19595675;63.73075232;2.071879856;20.66101304;8;-3.10462012;63.04598325;73.08588192;-0.6761491258;21.70478121;6;-0.3648516419;41.02382785;49.7877535;0.2968821081;18.22320082;6;-2.78037261;32.94695435;42.55106629;0.621864828;21.26338622;9;18.72363204;48.877759;58.92321931;-6.110246036;39.34445286;5;27.48900571;46.0709453;48.20639122;-4.217053869;24.15564222;4;55.95747743;61.72358237;55.54264131;-5.150746636;19.49816986;4;-24.53670233;74.9770972;77.31065765;-4.073082468;24.09422053;2;-9.579737384;46.65003694;51.18117926;0.3265270565;17.26641174;2;-7.976185441;40.48884854;50.75859262;1.923656972;27.61090112;4;4.713667729;42.77344317;50.27996008;1.582210974;31.41319266;2;7.631940708;35.93919879;41.81942423;2.432974208;22.20824727;2;25.57497295;36.36808944;43.9633792;5.580582532;15.30178226;4;32.97458272;66.6648375;63.13956653;16.99844985;21.7842761;1;29.13638224;44.73901526;41.27566202;8.113912236;14.4866144;1;25.36191643;26.94235751;28.05659085;-0.5927169756;18.2973767;2;138.2038627;95.55341216;69.83181728;89.45810817;0;5.220748901;70.43013234;0;32.05005646;24.45032778;4.929365873;44.44706345;72.94702805;0;21.08965302;54.41541127;0;21.43502045;13.38993322;0;20.40901184;0.9080779646;0.07362829447;0.102490515;0.03298776679;0.03859480503;0.05625026891;0.07762132853;0.05494211942;0.08283465579;0.07735124284;0.07742549741;0.05845344833;0.04704690571;0.01121465448;0.03483140592;0.03779424155;0.03976259289;0.09312166251;0.0400601223;0.09931738133;0.0299070816;0.02011546324;0.05322522884;0.03403951133;0.04133445143;1;1.160833154;NaN;NaN;NaN;NaN;NaN;
405;2021-01-15T16:18:27.733774+0100;1;1.103553734;0.6283590695;0.1230789021;-0.1616163714;0.0603621969;0.4920107378;0.03369997528;0.01047717801;0.0001952281311;0.007431562606;2.537879507e-05;0.1818695686;79.08697498;91.7461283;76.99861214;1.523661355;32.90619373;8;68.71639107;76.33318382;55.09889178;0.6747098696;19.63452216;4;71.12724549;77.37324758;68.91785398;3.846568576;21.24363033;8;-3.893143959;62.91182151;73.06140188;-0.1892143993;21.37006713;6;-0.4657177064;41.20331488;49.97567093;0.2082196211;18.13453833;6;-1.859105687;33.63757878;43.16990145;0.6072644945;21.27798655;9;14.20727017;44.36139714;53.92772693;-0.3347076333;36.65219659;6;23.46375216;42.04569175;43.73611649;-2.617016751;22.5556051;4;52.83933708;58.60544202;52.84493594;-4.562301553;20.08661494;4;-28.6843607;79.12475558;81.29893608;-2.84207286;22.86321093;2;-10.55239512;47.62269467;52.45064674;-0.3890708426;17.98200964;2;-6.18302129;38.69568439;49.24398761;3.828453406;26.38650271;4;11.21809931;41.47472393;48.1836175;7.532702446;36.30254217;3;12.77351685;35.07280138;39.82632094;6.05619864;24.9383727;3;31.02849102;41.1736166;44.77661003;6.546042529;14.33632226;3;42.11405508;58.76673467;49.11839935;7.413341869;25.18677521;1;30.39445157;43.74614753;39.90709453;2.566606175;20.03392046;2;21.62819131;25.50842753;29.78231966;-3.974742781;21.6794025;3;132.9545139;105.8473145;108.0858828;44.72460996;0;6.487686157;46.81990348;0;8.403560638;49.02268613;0;69.52868652;71.98311276;0;13.21321106;57.91160338;0;9.754318237;19.0468732;0;27.91435242;0.5856300579;0.07246224585;0.10263584;0.03425309498;0.03842446448;0.05560169505;0.07956433293;0.05215600308;0.08000127921;0.07554201386;0.07684725337;0.05657641065;0.04770115258;0.0109954294;0.03480309036;0.03757743658;0.04182833599;0.08807987384;0.03839456973;0.1000853702;0.02695801172;0.01851739493;0.05027353453;0.0333624166;0.03995989171;1;1.141865292;NaN;NaN;NaN;NaN;NaN;
406;2021-01-15T16:18:27.767091+0100;1;1.091878407;0.4614962498;0.1337845352;-0.1368093013;0.06278132862;0.489300091;0.0351814201;0.01043830394;0.0001986544558;0.007389163792;2.344349968e-05;0.1798781009;80.19420454;92.85335787;78.24778623;2.314102189;32.1157529;8;69.10580045;76.7225932;55.37848765;0.9058090145;19.40342302;4;75.35063115;81.59663324;75.32560476;5.095387281;21.53605329;7;-4.362059426;63.09499829;73.32170338;-0.6027441995;21.16339233;6;-1.096661783;41.16477604;49.95937055;0.07110294649;18.27165501;6;-0.9745946358;34.06383157;43.46156662;1.072296038;20.98661988;9;11.885244;43.53312731;54.03038936;-1.040956456;37.35844542;7;20.56069753;39.60267941;42.48787363;-2.425434859;22.36402321;4;48.50954445;54.34641605;48.10908905;-5.340995872;19.73806025;4;-31.54817018;81.98856506;84.58435553;-2.307583353;22.32872142;2;-12.31424619;49.38454574;55.49149331;-3.697068173;19.13875256;2;-4.004982428;36.51764553;46.51337644;1.057973126;23.61602243;4;24.62319543;46.2570788;51.25881034;18.23477459;39.62795388;3;22.02626641;36.94299972;38.48443423;12.33732726;26.22054308;3;38.50584816;46.44811409;45.29511755;5.126354868;15.75600993;3;43.10839386;57.77239589;46.91648202;-2.994876168;27.63874782;2;27.31588451;46.82471459;45.4019147;-3.133732015;25.24090524;2;15.29294498;30.11583451;38.52855053;-7.676124638;25.38078436;3;123.3969512;110.9179166;145.3852983;22.9533643;0;14.09505653;41.92903921;0;17.06559753;77.94103572;0;59.07585526;66.66002782;0;26.22414398;56.62469033;0;10.88984299;29.10106362;0;7.77703476;0.6866228037;0.07072538952;0.1025382342;0.03372663784;0.04086186365;0.05462638212;0.08132725872;0.05209036971;0.07998640317;0.07292420266;0.07543652643;0.05557011235;0.05040517681;0.01214835802;0.0343002866;0.0374351106;0.0434747567;0.08228458321;0.03653352959;0.100897747;0.02595308375;0.01646437912;0.04712938083;0.03237923562;0.0402457569;1;1.133490802;NaN;NaN;NaN;NaN;NaN;
407;2021-01-15T16:18:27.800407+0100;1;1.062828713;0.7738322893;0.09422707618;-0.1022692189;0.09611893731;0.4810682448;0.03125624434;0.008628015614;0.0001416776007;0.006110537645;1.762076956e-06;0.1699507213;82.64118246;95.30033579;80.0175593;2.011219364;31.81287007;8;69.95574066;77.57253341;55.90205009;1.164942564;19.66255657;4;79.29232465;85.44270549;79.63697567;3.815167605;22.46219709;6;-5.136965236;62.99359255;73.30682679;-0.5169183602;21.07756649;6;-1.416197762;41.24746212;49.98403208;0.1244769945;18.21828096;5;-0.2343289445;33.83239166;43.37142282;0.9692657842;21.08965013;9;13.05667032;44.70455363;54.29330678;2.056559231;39.24882155;7;20.41153397;39.45351585;42.44278472;1.300754298;23.00362239;4;45.55651891;51.39339052;43.88759385;-2.301466154;17.45329625;4;-33.20235193;83.6427468;86.43081622;-1.923019741;22.61593064;2;-13.59859867;50.66889822;56.90353041;-3.053639536;19.7821812;2;-2.869026927;35.48274747;46.07038637;-0.236189127;22.32186018;4;43.19241062;49.74388606;46.36006948;10.23404078;31.62722007;2;35.21037232;38.36038998;31.05602411;8.706437371;22.58965319;3;44.6985154;49.59653105;42.32627543;3.556088838;17.32627596;3;39.42100544;61.45978431;53.74199342;-8.330951691;25.28193283;1;23.96002101;50.18057809;50.82328694;-6.412363399;22.35384906;2;7.372077522;37.91852591;49.37556404;-9.842579256;27.54723898;2;118.8329534;112.5997201;170.2723576;7.978518779;0;8.512586594;31.27838273;0;30.40727043;84.76077932;0;94.00506592;76.09915818;0;29.04341125;78.02883244;0;30.13787842;57.21993001;0;8.571075439;0.8266378986;0.06834381766;0.1013839682;0.03125281676;0.04147948402;0.05319422289;0.08202759457;0.05167871968;0.08165364812;0.0694630754;0.07416886589;0.05694898092;0.05398678763;0.01391757042;0.03356934797;0.03688224399;0.04147569868;0.07608968038;0.03438615197;0.1019629075;0.02478174279;0.01895036398;0.04408901751;0.03113891585;0.03984313795;1;1.108081025;NaN;NaN;NaN;NaN;NaN;
408;2021-01-15T16:18:27.833724+0100;1;1.038107052;0.8305543232;0.1081963097;-0.0720316833;0.09815291642;0.4758695488;0.03503782948;0.008912440746;0.0001574936283;0.006173823983;2.601131426e-07;0.1852190486;84.67371846;97.33287178;81.98026867;2.069559534;31.87121024;8;71.04550495;78.6622977;56.775784;1.449036647;19.80247734;4;81.5125763;87.65828492;80.78360214;1.028006214;24.50294036;6;-5.982529091;62.7863359;73.14975198;0.09341496936;20.46723316;6;-1.294845804;41.56758957;50.09742469;0.3021651931;18.36346179;5;0.7873076121;33.3809454;43.02144176;0.6792823581;21.37963356;10;15.74441661;46.88665213;54.88307387;3.635407531;39.32387505;7;21.71243313;40.75441501;43.00309658;2.298991576;22.00538511;3;44.85577514;50.69264674;43.22716475;-0.9768670953;16.12869719;4;-32.52552201;82.96591688;85.8786172;-0.08851922077;24.45043116;2;-12.84683017;49.92130627;56.71913582;0.6244902403;23.21990278;2;-1.441613756;36.77379713;46.97256363;1.834055828;24.1114377;4;47.5621781;54.11365354;46.31338741;3.011707393;35.49427128;2;42.32542826;44.35876592;30.87906371;6.64866066;20.85962972;2;51.10667187;52.91594103;38.27596523;3.350505092;17.12069221;3;32.39690918;66.22686256;61.66377084;-11.18849598;22.42438854;1;19.65968285;54.02000891;54.96758598;-6.210656946;22.55555552;1;0.4081093232;44.88249411;56.22403024;-8.626633124;28.65223373;2;116.2056044;106.8706635;175.5283599;0;11.18465534;2.673314095;10.54359749;5.13892136;29.56793404;72.179813;0;120.7556152;89.11427816;0;17.94306946;85.37821225;0;24.40666962;90.44545915;0;13.11808014;0.9056701905;0.06547785235;0.1001001781;0.03105389747;0.03873301819;0.05141127765;0.08261766499;0.04806123469;0.08013571157;0.06534987966;0.07281759526;0.05640006923;0.05289890612;0.01569542454;0.03325339797;0.03621077696;0.04018631926;0.06977344063;0.03219072416;0.1016400733;0.02490500602;0.02166683978;0.04092940331;0.03001052152;0.03973041775;1;1.08102498;NaN;NaN;NaN;NaN;NaN;
409;2021-01-15T16:18:27.867040+0100;1;1.000134817;0.3703337774;0.08653913709;-0.05364871906;0.08960250314;0.4693451857;0.04188574069;0.009528997032;0.0001903652528;0.006335950355;1.644665296e-06;0.1368401553;86.77204272;99.43119604;84.1207122;2.579992795;31.78401751;8;72.87922704;80.4960198;58.48905155;2.135094045;19.92779803;4;85.59958945;91.74529807;85.91698726;2.01320687;25.48814101;6;-6.256536558;63.11425513;73.29233189;0.4049544092;20.15569372;5;-1.057965979;41.80561936;50.18283198;0.5023401228;18.19022925;5;1.890355314;33.13414202;42.83512264;0.6517675933;21.35211879;10;17.888298;47.0866506;54.313148;4.204808152;38.75447443;7;23.39355288;41.86029847;42.63762734;2.897525207;21.40685148;3;44.35276403;50.13649161;42.5682065;-0.2739600306;15.42579012;4;-31.46597339;81.90636826;85.26086038;1.356754801;25.18823474;2;-12.27585313;49.35266675;56.68329933;0.9191421426;23.51455469;2;0.6336791063;38.55197942;48.6192192;1.056660828;23.3340427;4;42.16774206;53.16475998;50.69768014;-8.146505789;42.28567357;3;43.982666;46.45603739;30.73138361;-0.7481552471;21.22186574;2;56.70221896;56.89731446;34.22779135;2.43334107;16.20352819;2;20.15756725;70.28717142;71.28150985;-16.84230943;22.15453616;1;14.78043134;55.74418683;57.33081661;-7.258314653;21.50789781;1;-4.209759256;49.21935455;58.43907767;-6.069374431;31.20949242;1;112.3217303;96.67406244;165.2246594;0;28.1241973;8.501630783;0;10.42802258;19.64128304;58.77541197;3.849931717;82.91794586;78.98451233;0;25.06920624;53.61002009;0;18.34176636;48.24085787;0;25.3297348;0.9367456501;0.06210748347;0.09860007878;0.03199737217;0.03699345754;0.04918337151;0.08297991775;0.04511140521;0.07599241069;0.06058393398;0.07092898747;0.05390276598;0.05089066147;0.01731481414;0.03269480623;0.03522812988;0.04009403369;0.06360883929;0.03062498416;0.1001709611;0.02491980546;0.02409210621;0.03795483539;0.02868336889;0.04296728961;1;1.065779114;NaN;NaN;NaN;NaN;NaN;
410;2021-01-15T16:18:27.900357+0100;1;0.9880889334;0.5055974624;0.08993700723;-0.0588769658;0.04530589418;0.4645603147;0.02385357246;0.005372540966;6.029879404e-05;0.003420482909;7.94519906e-06;0.1053735139;89.39292961;102.0520829;86.67416315;2.302805642;31.50683036;8;74.32144536;81.93823811;59.18446414;1.525468697;20.09033258;4;89.26103708;95.4067457;89.45336515;2.743050785;26.21798493;6;-5.946273197;63.32445683;73.42616621;0.2456319251;20.09803286;5;-0.3789671245;41.91789976;50.30896001;0.9091300318;18.14467857;5;3.43200467;33.03515622;42.64308581;1.378705873;22.07905707;11;23.27059658;46.87923912;51.97373303;4.708402924;39.2580692;7;26.88956218;41.9519317;40.60905228;3.279327641;21.78865391;3;45.05982349;50.5271484;42.34663171;1.243965066;13.90786503;4;-29.40086874;79.84126361;84.02759285;2.134571739;25.85529344;2;-12.28112247;49.35793608;56.67146662;0.4067463253;24.0269505;2;0.272823262;38.19112358;48.31526304;0.1244596087;24.26624392;4;36.04793688;48.76940927;52.22683525;-8.992572004;41.43960736;3;42.7187322;45.63962796;32.26736675;-2.797617652;19.61076476;2;59.99424406;60.18933956;31.90283349;1.676704407;16.96016485;1;2.219385339;74.98667041;80.7856238;-20.0697181;25.38194483;1;7.843498686;56.74983122;59.36607285;-9.501134005;20.51414282;1;-7.590044238;51.22288809;58.88365556;-3.511222059;33.7676448;1;118.4164437;97.28768912;155.6187243;31.23427406;0;3.318719864;25.6510724;0;10.69470596;64.65198148;0;63.11032867;8.93786064;2.797516127;16.30809975;4.050351836;22.27749468;33.51979065;15.67060566;19.10599041;52.49217987;-0.1965088217;0.05828985796;0.09610876614;0.029852941;0.03863318335;0.04653054842;0.08224177517;0.04468404508;0.07421009566;0.05535661555;0.06900242469;0.05362278248;0.05250469448;0.01873144073;0.03203077348;0.03452647343;0.03985890834;0.05782441834;0.03094244438;0.09935274598;0.02685067835;0.02617770191;0.0354705203;0.02683975046;0.04542396952;1;1.052537399;NaN;NaN;NaN;NaN;NaN;
411;2021-01-15T16:18:27.933673+0100;1;1.005848829;1.033485776;0.06262428797;-0.04970657565;0.06342378323;0.4683504702;0.02839627069;0.007222311094;0.0001028277214;0.004746033098;1.114210773e-05;0.0690148401;90.45283368;103.111987;87.43958574;1.177259429;32.63237657;8;75.69189689;83.30868964;60.16410076;1.693937108;20.25880099;4;91.54606542;97.69177404;90.94190902;2.291561321;26.11428568;6;-4.882126487;63.86738192;73.7506325;0.5064910751;20.35889201;4;0.3235513426;41.75165106;50.27093666;0.5707873975;18.09864157;5;4.873676137;33.23020541;42.73559805;1.1650644;22.20222156;11;29.87231334;49.57938048;52.73111839;7.112613719;41.15477732;7;31.16397021;43.22235295;39.23489956;4.249648633;22.3318406;3;46.96085367;52.10418313;41.22138277;2.066677011;13.34718099;3;-26.1459298;76.58632468;82.6091599;2.154779849;25.87550155;2;-12.8511806;49.92799422;56.86787285;-0.05818267491;24.4918795;2;-0.872658926;37.08842659;47.78935365;-0.009084235067;24.39978777;4;30.63678144;43.35825382;49.71365932;-1.707574931;40.60147294;4;39.23383629;42.15473205;31.54378264;-2.10661576;18.91976287;2;63.45805644;63.54361048;29.82966629;2.695289265;17.97874971;0;-16.52955366;81.5777714;88.04001653;-20.70538677;26.0176135;1;-3.859125908;59.3832206;62.88334818;-13.59812407;23.45587886;1;-11.00600583;52.40719414;58.73103826;-3.232992346;34.04587451;1;140.8873504;113.7861852;154.8185764;109.124706;0;44.75578308;66.73768743;0;43.93814468;76.92229131;0;96.25943756;0;58.18242009;12.79225159;0;65.74749947;12.37473679;0;65.65591982;44.32279968;0.814500283;0.05413524199;0.0937082958;0.02791457018;0.03916048707;0.04349901682;0.08144249763;0.04246546752;0.07488639302;0.04979350907;0.06761551183;0.0551903301;0.05314927249;0.01988773526;0.0314242224;0.0333395325;0.03859496946;0.05278836585;0.03348049036;0.09814469809;0.02812289839;0.027901638;0.03347670472;0.02511269752;0.04690055595;1;1.059337198;NaN;NaN;NaN;NaN;NaN;
412;2021-01-15T16:18:27.966990+0100;1;1.041141532;0.8573956733;0.04530889462;-0.07236432761;0.08373172385;0.4761127876;0.03163676894;0.008692815664;0.0001440139399;0.006011548885;6.4284077e-06;0.04942358953;87.85488315;101.7613617;88.91145976;-2.645151025;36.45478703;9;74.89388083;82.51067358;60.42581587;-0.8346900617;22.72962761;4;92.10578138;98.25149;91.06606885;0.9534583657;27.45238863;6;-3.803010711;64.94649769;74.53638994;0.2859124774;20.13831341;4;0.6978406095;41.7149399;50.26738334;-0.1704388311;17.43020035;4;4.861813226;33.24206832;42.73613255;-0.2310434196;22.78361336;12;37.04515633;52.44085284;52.87416544;9.278012027;39.79220759;7;36.28718291;44.65429004;37.06369335;5.923534808;21.61492066;3;48.74830189;52.79020152;39.68611836;1.792625904;13.62123209;3;-23.62682452;74.06721939;82.1679669;0.8790199446;24.59974165;2;-13.48041018;50.55722379;57.17496936;-0.4260981187;24.62384332;2;-1.912781727;37.26462972;47.78529554;-0.4737021716;24.8644057;5;25.41597426;41.12495934;51.23832999;-3.609010783;42.50290879;5;36.00019405;39.84117439;33.0287677;-2.525610317;19.33875743;2;64.28553474;64.51262212;31.54536665;-2.10538448;14.07745882;0;-35.71436593;88.76539821;91.76999037;-20.61086897;25.9230957;1;-19.15215145;65.02431224;68.18702933;-18.2062319;28.06398669;1;-15.78838991;54.01509936;58.38005688;-4.315904097;32.96296276;1;161.4762391;129.6933181;154.3599063;132.3361347;0;31.35784912;87.608977;0;51.19904327;56.04650523;0;76.70441437;0;73.58400048;8.087409973;0;71.35755416;19.06125641;0;95.41439862;34.54977417;0.9766553497;0.04964078924;0.09123468381;0.02724407666;0.0366672281;0.04005057897;0.08037341649;0.03808066663;0.07317810796;0.04398906976;0.06607254142;0.05467163261;0.05007447644;0.02078674171;0.03050298021;0.03320274472;0.03459842782;0.04835181601;0.03588305266;0.09577448885;0.02901319617;0.02926319786;0.03232119389;0.02383551737;0.04868125521;1;1.068928495;NaN;NaN;NaN;NaN;NaN;
413;2021-01-15T16:18:28.000306+0100;1;1.044942523;0.7101280689;0.01000388028;-0.05282854124;0.08250871152;0.4765265673;0.02755553058;0.007706426579;0.0001122795445;0.00537943556;-2.199509198e-06;6.077416261e-05;83.85808491;101.9675276;92.97452295;-4.931821516;37.17821837;9;72.1806881;82.39248305;63.57230308;-3.362907571;24.3017519;5;90.95651733;97.10222595;91.38523678;-0.4877129248;28.89355992;6;-3.640733998;65.1087744;74.68719392;-0.2709994437;19.9606755;4;0.4684598174;41.48555911;50.16664107;-0.8161446846;16.7844945;4;4.302426473;33.63366668;43.02473474;-0.7891729403;22.64115821;11;46.17762143;54.03211397;48.87832001;4.727680579;35.24187615;6;42.89056228;45.37431158;31.07170974;4.136042968;19.82742882;3;50.14521767;53.80015548;38.78797578;2.426154904;12.9877031;3;-21.73658708;73.51284521;82.54776482;0.1354454704;23.85616717;2;-13.4292234;50.50603702;57.16092324;-0.9832271908;24.06671425;2;-2.827429104;38.12018907;47.95861017;-0.7280856112;25.11878914;4;26.80765469;42.51663978;51.37611455;2.946560773;46.37656559;6;37.28477675;41.1257571;33.82243747;2.952207219;22.98940641;2;64.81653153;65.04361891;33.11649262;-0.5710282759;14.12124911;0;-53.51305245;95.45408009;90.89265005;-20.9556538;25.57831088;1;-31.61194916;68.04666156;66.86907386;-16.55846232;29.71175627;1;-20.25886672;53.83751378;57.46590524;-5.269497611;32.00936924;2;169.1035787;130.7491175;146.0020596;71.09436094;0;4.613197327;80.51626629;0;23.47718811;58.36539866;0;67.2868576;0;70.747047;22.84284973;0;55.53128093;16.75093079;0;89.31956524;20.73976898;0.9641331117;0.04497497199;0.0885277631;0.02663255316;0.03889529817;0.03795476585;0.07884384551;0.03503593953;0.07197835828;0.0382143941;0.06463537561;0.05381110824;0.04739049928;0.02140367409;0.02953780711;0.0322022875;0.03339463159;0.04446984771;0.03806853068;0.09366244981;0.03029503419;0.03026769634;0.0315650273;0.02282386239;0.04951882723;1;1.085176437;NaN;NaN;NaN;NaN;NaN;
